NAME,TYPE,LOCATION,RESOURCE LINK
chinm-mr9hf6cy-eastus2,Foundry,East US 2,https://portal.azure.com#resource/subscriptions/7f232a3b-bb69-486b-a37d-afc45049b33f/resourceGroups/manu-ai-solution-rg/providers/Microsoft.CognitiveServices/accounts/chinm-mr9hf6cy-eastus2
managedEnvironment-ManuAISolutionR-97c6,Container Apps Environment,East US,https://portal.azure.com#resource/subscriptions/7f232a3b-bb69-486b-a37d-afc45049b33f/resourceGroups/Manu-AI-Solution-RG/providers/Microsoft.App/managedEnvironments/managedEnvironment-ManuAISolutionR-97c6
manu-ai-Container-Apps-environment,Container Apps Environment,East US,https://portal.azure.com#resource/subscriptions/7f232a3b-bb69-486b-a37d-afc45049b33f/resourceGroups/Manu-AI-Solution-RG/providers/Microsoft.App/managedEnvironments/manu-ai-Container-Apps-environment
Manu-Ai-key-Vault,Key vault,East US,https://portal.azure.com#resource/subscriptions/7f232a3b-bb69-486b-a37d-afc45049b33f/resourceGroups/Manu-AI-Solution-RG/providers/Microsoft.KeyVault/vaults/Manu-Ai-key-Vault
Manu-AI-Loganalytics,Log Analytics workspace,East US,https://portal.azure.com#resource/subscriptions/7f232a3b-bb69-486b-a37d-afc45049b33f/resourceGroups/Manu-AI-Solution-RG/providers/Microsoft.OperationalInsights/workspaces/Manu-AI-Loganalytics
manu-ai-monitor,Azure Monitor workspace,East US,https://portal.azure.com#resource/subscriptions/7f232a3b-bb69-486b-a37d-afc45049b33f/resourceGroups/Manu-AI-Solution-RG/providers/microsoft.monitor/accounts/manu-ai-monitor
Manu-ai-openai,Azure OpenAI,East US,https://portal.azure.com#resource/subscriptions/7f232a3b-bb69-486b-a37d-afc45049b33f/resourceGroups/Manu-AI-Solution-RG/providers/Microsoft.CognitiveServices/accounts/Manu-ai-openai
manu-ai-postgressql,Azure Database for PostgreSQL flexible server,East US 2,https://portal.azure.com#resource/subscriptions/7f232a3b-bb69-486b-a37d-afc45049b33f/resourceGroups/Manu-AI-Solution-RG/providers/Microsoft.DBforPostgreSQL/flexibleServers/manu-ai-postgressql
manu-ai-postgressql.private.postgres.database.azure.com,Private DNS zone,Global,https://portal.azure.com#resource/subscriptions/7f232a3b-bb69-486b-a37d-afc45049b33f/resourceGroups/Manu-AI-Solution-RG/providers/Microsoft.Network/privateDnsZones/manu-ai-postgressql.private.postgres.database.azure.com
Manu-AI-SG,Network security group,East US,https://portal.azure.com#resource/subscriptions/7f232a3b-bb69-486b-a37d-afc45049b33f/resourceGroups/Manu-AI-Solution-RG/providers/Microsoft.Network/networkSecurityGroups/Manu-AI-SG
Manu-AI-Solution-Redis,Azure Managed Redis,East US,https://portal.azure.com#resource/subscriptions/7f232a3b-bb69-486b-a37d-afc45049b33f/resourceGroups/Manu-AI-Solution-RG/providers/Microsoft.Cache/redisEnterprise/Manu-AI-Solution-Redis
Manu-AI-Solution-Vnet,Virtual network,East US,https://portal.azure.com#resource/subscriptions/7f232a3b-bb69-486b-a37d-afc45049b33f/resourceGroups/Manu-AI-Solution-RG/providers/Microsoft.Network/virtualNetworks/Manu-AI-Solution-Vnet
Manu-AI-SQL-Vnet,Virtual network,East US 2,https://portal.azure.com#resource/subscriptions/7f232a3b-bb69-486b-a37d-afc45049b33f/resourceGroups/Manu-AI-Solution-RG/providers/Microsoft.Network/virtualNetworks/Manu-AI-SQL-Vnet
